golf golep
geter geteran
arak bir
paguyuban paguyuban
mas aceuk
donya dunya
ombean inuman
sirah hulu
arek budak
sikil sampean
warsa taun
daya kakuatan
acar acar
piaraan piaraan
kebutuhan kabutuhan
laboratorium laboratorium
peternakan paternakan
gantolan gantungan
gendakan bobogohan
preman préman
carita serat
kursus les
wit tangkal
waduk waduk
kegesangan kahirupan
kandhang kandang
kenduri hajatan
slametan hajatan
sandera sandra
kosokan kosokeun
lambe baham
mripat soca
senat sénat
data data
fisika fisika
umur yuswa
pegawe kuli
mesem seuri
nasional nasional
bea duit
panuntun pituduh
umum biasa
arek rayi
pesta hajatan
urusan kaperluan
garwa pun
tol tol
ambisi tékad
sederek rerehan
jemparing panah
kain sinjang
bledug saab
ati manah
macem rupi
sultan raja
warata cépér
bayaran gaji
kenduri pesta
ijin ijin
video video
agni seuneu
endhut taneuh
pendekar jawara
carita sajarah
sabun sabun
entuk porsi
saklempakan sakumpulan
ngudak ngaberik
kabel kabel
akses akses
las las
kandidat calon
pastor pastor
bis beus
kerja ihtiar
teknologi téknologi
dana artos
hasrat kahayang
naskah naskah
kamar kamar
kawilujengan kasalametan
pemanah pamanah
desa lembur
jantung manah
bandar agén
pawon pawon
dines dines
arek rai
ambegan napas
gawe damel
bangsa bangsa
pola conto
penampungan panampungan
oyot akar
peserta pamilon
oyot jangkar
sedulur baraya
gepukan babukan
tambang tambang
bea artos
ukara ungkara
takdir titis
piawon kajahatan
mas aa
nomer angka
sawung jawara
grafik grapik
dewean nyalira
surung di-surung
wedhus embé
moyang karuhun
werna warna
wedok bikang
inten inten
sultan sultan
borok budug
pegatan gugatan
misteri misteri
rekaman rekaman
daerah wilayah
eyang nini
urusan kabutuhan
tentara tantara
crita carita
esem seuri
jurusan jurusan
dodolan dagangeun
hawa hawa
lulang kulit
bedhes monyét
kontak kontak
jaket jékét
poto poto
tindak lalampahan
penyerang panyerang
piaraan inguan
toya banyu
lampu lampu
mlampah jalan
celeng bagong
kuli juru
gaun anggoeun
pawon dapur
objek objék
dom jarum
kekarepan tékad
salep salep
asmara parangi
awu saab
lorong gang
pramuka pramuka
klambi acuk
dhuwit harta
sawung jago
kakang raka
laksamana amirulbahar
pemikiran pamikiran
lombok cabé
biola biola
kringet luut-léét
bal bal
ping walungan
penandhing patarung
ugal galak
rundingan obrolan
raka raka
koloni koloni
segara sagara
kanca kentel
panggonan imah
konstruksi konstruksi
komitmen komitmen
kondom kondom
ageman raksukan
sistem sistem
semut sireum
cangkir cangkir
keluputan kasalahan
museum museum
cathetan catetan
kartun kartun
jalur jalur
tetakonan wawancara
psikologi psikologi
babi bagong
sak botol
ketiban katinggang
dana harta
olimpiade olimpiade
komitmen sumpah
lindu lini
turu saré
konsultan konsultan
panginepan panginepan
kalkun kalkun
biskuit kuéh
tembang tembang
upah gajih
bank bank
pusaka pakarang
mak'e indung
kubur kuburan
ketentreman katengtraman
jaran kuda
gething ceuceub
wadon istri
raka lanceuk
ingon piaraan
berkas berkas
sel sél
tirta ci
elmi élmu
asep saab
federisasi organisasi
lem lém
bangsat bandit
embok pun
tengen katuhu
gelas lumur
tukaran pacogregan
kabehane semesta
sawung bisaan
udut rokok
paus paus
gaman pakarang
hadhiah hadiah
bea harta
dulur wedet
ibuk ambu
pantai basisir
solo anggana
pit motor
selambu kulambu
rega harga
kentang kumeli
tiyang sepuh
magang magang
pemandangan tetempoan
kabar warta
ban ban
rai raray
pihak pihak
kode kode
endhas sirah
jatos jati
pesta pesta
kekarepan itikad
minggu minggon
iwak lauk
cek cek
tirta cai
sumringah kagumbiraan
