kategori ['swasta', 'mu', 'kemasarakatan', 'atas', 'bim', 'danamon', 'darussalam', 'min', 'ipi', 'letakipun']
jeung ['resik', 'dikumbah', 'ngumbah', 'raup', 'godhog', 'nyiram', 'diperes', 'sewengi', 'adem', 'kumbah']
jeung ['resik', 'dikumbah', 'ngumbah', 'raup', 'godhog', 'nyiram', 'diperes', 'sewengi', 'adem', 'kumbah']
jeung ['resik', 'dikumbah', 'ngumbah', 'raup', 'godhog', 'nyiram', 'diperes', 'sewengi', 'adem', 'kumbah']
dina ['sempit', 'obahing', 'amba', 'lengen', 'sepasang', 'lipat', 'solah', 'ibarat', 'obyek', 'fleksibel']
dina ['sempit', 'obahing', 'amba', 'lengen', 'sepasang', 'lipat', 'solah', 'ibarat', 'obyek', 'fleksibel']
tina ['diperes', 'umub', 'disaring', 'direndhem', 'tambahaké', 'dibilas', 'umup', 'umob', 'dikumbah', 'umeb']
apollo ['disaring', 'dikum', 'umeb', 'umub', 'direndhem', 'sagelas', 'difermentasi', 'diperes', 'digodhog', 'ditus']
kaluar ['mu', 'min', 'ngemban', 'anri', 'btn', 'ipi', 'pangad', 'ghafir', 'fa', 'pamgat']
daptar ['mu', 'minin', 'fa', 'supra', 'danamon', 'registrasi', 'darussalam', 'tangerang', 'lsf', 'penyelenggaraan']
badag ['mu', 'allimin', 'minin', 'allaq', 'munqati', 'kulliyatul', 'jagat', 'min', 'pangumpul', 'wa']
badag ['mu', 'allimin', 'minin', 'allaq', 'munqati', 'kulliyatul', 'jagat', 'min', 'pangumpul', 'wa']
ngora ['mu', 'allimin', 'malut', 'allaq', 'kulliyatul', 'peparing', 'kame', 'min', 'minin', 'munqati']
robah ['mu', 'allimin', 'kulliyatul', 'allaq', 'dimaksud', 'minin', 'min', 'fa', 'munqati', 'mudallas']
astronomical ['mu', 'allimin', 'fa', 'minin', 'allaq', 'kulliyatul', 'khilafah', 'munqati', 'ath', 'al']
ka ['surem', 'cilik', 'amèh', 'kathok', 'amba', 'panggonane', 'chempala', 'raine', 'luwih', 'mangisor']
