dina ['sajeroning', 'iki', 'kang', 'kanggo', 'saka', 'ana', 'sadurungé', 'uga', 'sajroné', 'iku']
jadi ['dados', 'ingkang', 'punika', 'saha', 'saking', 'dipunpilih', 'wonten', 'inggih', 'ugi', 'boten']
nyaéta ['inggih', 'ingkang', 'ingih', 'urutanipun', 'nami', 'punika', 'nama', 'sagéd', 'saking', 'ingakng']
pikeun ['kanggé', 'supados', 'pangginaan', 'anggénipun', 'kedahipun', 'ingkang', 'anggènipun', 'kangge', 'kedah', 'anggenipun']
pikeun ['kanggé', 'supados', 'pangginaan', 'anggénipun', 'kedahipun', 'ingkang', 'anggènipun', 'kangge', 'kedah', 'anggenipun']
teu ['boten', 'mboten', 'mekaten', 'kémawon', 'amargi', 'kasunyatanipun', 'langkung', 'leres', 'dèrèng', 'ingkang']
teu ['boten', 'mboten', 'mekaten', 'kémawon', 'amargi', 'kasunyatanipun', 'langkung', 'leres', 'dèrèng', 'ingkang']
téh ['sinaosa', 'ngriki', 'kalawau', 'kalihan', 'amargi', 'dipunpocapaken', 'mila', 'samangké', 'manawi', 'saha']
ti ['saka', 'iki', 'ana', 'iku', 'saiki', 'tekan', 'kang', 'menyang', 'ing', 'dadi']
ti ['saka', 'iki', 'ana', 'iku', 'saiki', 'tekan', 'kang', 'menyang', 'ing', 'dadi']
sarta ['lan', 'kasebut', 'saka', 'kang', 'kanggo', 'iki', 'amarga', 'bisa', 'sawetara', 'sakabèhé']
kawas ['kados', 'utawi', 'ngginakaken', 'ingkang', 'limrahipun', 'dipunwaos', 'ugi', 'mawi', 'kaliyan', 'swantenipun']
ogé ['uga', 'kang', 'iki', 'lan', 'kanggo', 'amarga', 'liyané', 'liya', 'utawa', 'karo']
aya ['ana', 'iki', 'kalebu', 'yaiku', 'iku', 'gedhé', 'akèh', 'duwé', 'kang', 'antarané']
bisa ['bisa', 'kudu', 'ora', 'mau', 'kanggo', 'kang', 'bakal', 'perlu', 'angél', 'gampang']
leuwih ['luwih', 'kurang', 'banget', 'tinimbang', 'lewih', 'cukup', 'ketimbang', 'cenderung', 'dibandingke', 'amarga']
nepi ['nganti', 'tekan', 'wis', 'amèh', 'banjur', 'watara', 'éwon', 'wetara', 'sapréné', 'lan']
