, [',', '.', 'semimajor', ')', 'semin', '(', 'idem', '</s>', '/>', 'biting']
. ['.', ',', ')', 'mesh', 'separone', 'delta', 'separo', '(', 'vespa', 'gething']
' ["'", ')', '(', 'iku', ',', '</s>', 'laban', '/kaenem', 'akershus', 'bø']
) [')', '(', "'", ',', 'dipunpertal', '.', 'ln', 'dipunwaos', 'epoch', 'dipunwastani']
dina ['jroning', 'sakjroning', 'sadina', 'dipunwiyaraken', 'umpaminipun', 'taunipun', 'njawinipun', 'dintenipun', 'wonten', 'wiwité']
} ['}', 's}}}', '},}}', '}}}>', ',}}}', '/}}}', '}}}}>', '☉}}}', ',}}', '>}}}}']
# ['#', '##', '###', '####', 'mbedakaken', 'children', 'waler', 'bedakaken', '#alihada', '#alih']
nyaéta ['iku', "'", 'jroning', 'pédhan', 'wiradésa', 'kaliwira', 'jatèn', 'sawijining', 'cèpèr', 'panyipatan']
ti ['saka', 'saking', 'ti', 'tekan', 'timé', 'tinepang', 'sadurung', 'tilasé', 'indhonesia', 'sadurungé']
ti ['saka', 'saking', 'ti', 'tekan', 'timé', 'tinepang', 'sadurung', 'tilasé', 'indhonesia', 'sadurungé']
sarta ['sarta', 'lan', 'sanjabaning', 'karo', 'kang', 'saluwihé', 'senadyan', 'kanthi', 'sajroning', 'saprelu']
pikeun ['kanggo', 'kangggo', 'kabutuhané', '#kanggo', 'kanggoné', 'nyedhiakaké', 'merlokaké', 'kangg', 'pigunané', 'tujuané']
pikeun ['kanggo', 'kangggo', 'kabutuhané', '#kanggo', 'kanggoné', 'nyedhiakaké', 'merlokaké', 'kangg', 'pigunané', 'tujuané']
ogé ['uga', 'saliyané', 'kususé', 'sanjabané', 'lan', 'kanggi', '#kanggo', 'njabané', 'panggawéyan', 'panggawéné']
jawa ['jawa', 'jawa#a', 'jawa#d', 'rawalo', 'bumijawa', 'indonésia', 'nusawungu', 'tanjungbumi', 'jatilawang', 'dayeuhluhur']
aya ['ana', 'kang', 'iki', 'ya', 'ndhuwe', 'ndhuwèni', 'sakabèhing', 'sebageyan', 'ndhuweni', 'sekabèhing']
}} ['}}}>', '}}}}>', '}}', '}}}', '},}}', '/}}}', '}}}+}}}', ',}}}', '}}}}}', 's}}}']
bisa ['bisa', 'biyasa', 'isa', 'keluwihan', 'biasa', 'biyasane', 'kaluwihan', 'ngganggo', 'mampu', 'jenising']
jadi ['dadi', 'dadiya', 'dados', 'suwe', 'ndadi', 'saiku', 'minangka', 'suwek', 'manéh', 'mengkoné']
barat ['barat', 'ibarat', 'barabai', 'maybrat', 'kotabumi', 'kebasen', 'baraya', 'kabupatène', 'barata', 'kabupatèn']
désa ['kêcamatan', 'dhukuhseti', 'wiradésa', 'kecamatan', 'ngargayasa', 'wanakersa', 'kedhungwuni', 'kedhungwungu', '#désa', 'dhukuhwaru']
teu ['ora', 'boten', 'tenan', 'sanadyan', 'nanging', 'samesthiné', 'tetep', 'temtu', 'amerga', 'mesthiné']
teu ['ora', 'boten', 'tenan', 'sanadyan', 'nanging', 'samesthiné', 'tetep', 'temtu', 'amerga', 'mesthiné']
leuwih ['luwih', 'tinimbang', 'lewih', 'kurang', 'ngluwihi', 'sithik', 'adoh', 'sethithik', 'kluwih', 'abot']
téh ['iwèn', 'sitèn', 'lèrèn', 'saka', 'rélièf', 'sebabé', 'sakbeneré', 'séwu', 'nènèk', 'sejatiné']
kota ['kutha', 'kota', 'ibukota', 'ibukutha', 'krajanné', 'ibukitha', 'krajan', 'kuthané', 'kotamobagu', 'krajanne']
nepi ['dumugi', 'ngantos', 'lumampah', 'nganti', 'dangunipun', 'sawatawis', 'dipuntambah', 'abotipun', 'sawetawis', 'dugi']
nepi ['dumugi', 'ngantos', 'lumampah', 'nganti', 'dangunipun', 'sawatawis', 'dipuntambah', 'abotipun', 'sawetawis', 'dugi']
nagara ['nagara', 'negara', 'nagara/', 'négara', 'nagar', 'nagarané', 'nagari', 'negarané', 'nagarane', 'negari']
poé ['dinten', 'dina', 'dintenan', 'riyaya', 'dzulhijjah', 'sadinten', 'selasa', 'sedinten', 'wagé', 'imlèk']
