Pair translation for k=1
20 [17930]
pucuk ['pucuking']

62 [94]
dina ['jeung']

119 [47349]
dadi ['dadine']

125 [670]
kanggo ['kanggone']

125 [670]
kanggo ['kanggone']

142 [17653]
tembung ['tembunge']

182 [26498]
kaca ['kacana']

193 [18925]
anggota ['member']

210 [33861]
dalem ['daleme']

213 [5741]
kidul ['selatan']

216 [5410]
wong ['wonge']

216 [5410]
wong ['wonge']

216 [5410]
wong ['wonge']

216 [5410]
wong ['wonge']

244 [2856]
aksara ['huruf']

244 [2856]
aksara ['huruf']

273 [10911]
populasi ['penduduk']

276 [14904]
taun ['tahun']

276 [14904]
taun ['tahun']

281 [1623]
islam ['muslim']

314 [52752]
dewan ['majlis']

401 [35159]
posisi ['kedudukan']

402 [13710]
pungkasan ['pungkasaning']

503 [42820]
warta ['wasta']

721 [46893]
durung ['durunge']

752 [26353]
perang ['peperangan']

799 [28706]
cathetan ['cathatan']

800 [64515]
suku ['sukune']

803 [3791]
sumber ['sumbering']

862 [15558]
kaisar ['emperor']

862 [15558]
kaisar ['emperor']

872 [6797]
panggonan ['panggonane']

872 [6797]
panggonan ['panggonane']

875 [624]
candhi ['candi']

887 [4977]
wakil ['wakile']

888 [2481]
usaha ['upaya']

956 [937]
komunis ['sosialis']

966 [32807]
alesan ['alesanna']

976 [62550]
warga ['warganing']

976 [62550]
warga ['warganing']

976 [62550]
warga ['warganing']

1070 [35777]
saiki ['saikine']

1087 [54943]
istana ['palazzo']

1143 [44233]
ukara ['ukura']

1164 [15396]
hak ['hakikat']

1181 [3958]
tiyang ['tiyangipun']

1192 [71432]
cariyos ['criyos']

1277 [49483]
ide ['ideu']

1277 [49483]
ide ['ideu']

1284 [27822]
padang ['padangpanjang']

1284 [27822]
padang ['padangpanjang']

1304 [38462]
perasaan ['siksaan']

1304 [38462]
perasaan ['siksaan']

1305 [14954]
pribadi ['pribadine']

1305 [14954]
pribadi ['pribadine']

1305 [14954]
pribadi ['pribadine']

1393 [66720]
upah ['opah']

1400 [1960]
karangan ['karangane']

1400 [1960]
karangan ['karangane']

1418 [17700]
sedoyo ['supoyo']

1424 [38820]
mata ['matanya']

1527 [10743]
lemah ['lemahe']

1527 [10743]
lemah ['lemahe']

1538 [5027]
seni ['seniman']

1551 [3894]
karakter ['character']

1554 [40331]
nomer ['nomerna']

1563 [93346]
kopi ['kopine']

1608 [44416]
obah ['obahe']

1641 [11201]
rupa ['rupaning']

1648 [14551]
carita ['cerita']

1713 [34409]
dhusun ['dhistrik']

1723 [50742]
medali ['penghargaan']

1735 [6896]
sapi ['babi']

1876 [3143]
tradisi ['ritual']

1876 [3143]
tradisi ['ritual']

1884 [21475]
kembang ['kembangan']

1884 [21475]
kembang ['kembangan']

1895 [49298]
dhuwit ['dhuwite']

1908 [80440]
lanang ['lanag']

1908 [80440]
lanang ['lanag']

1909 [55283]
wadon ['wadone']

1909 [55283]
wadon ['wadone']

1921 [109198]
bengi ['bengen']

1962 [18343]
pinter ['pintere']

1992 [23239]
tata ['tatacara']

2012 [17077]
mutlak ['muter']

2063 [936]
bagean ['deukeut']

2081 [10373]
omah ['omahe']

2081 [10373]
omah ['omahe']

2108 [7000]
oksigen ['nitrogen']

2150 [3569]
logam ['metals']

2178 [5818]
mlebu ['mlayu']

2204 [19861]
ratu ['ratuning']

2318 [1651]
rama ['ramayana']

