Pair translation for k=1
20 [17933]
pucuk ['pucuking']

62 [94]
dina ['jeung']

119 [47354]
dadi ['dadine']

125 [670]
kanggo ['kanggone']

125 [670]
kanggo ['kanggone']

142 [17657]
tembung ['tembunge']

182 [26499]
kaca ['kacana']

193 [18914]
anggota ['member']

210 [33864]
dalem ['daleme']

213 [5741]
kidul ['selatan']

216 [5410]
wong ['wonge']

216 [5410]
wong ['wonge']

216 [5410]
wong ['wonge']

216 [5410]
wong ['wonge']

244 [2856]
aksara ['huruf']

244 [2856]
aksara ['huruf']

273 [10918]
populasi ['penduduk']

276 [14913]
taun ['tahun']

276 [14913]
taun ['tahun']

281 [1623]
islam ['muslim']

314 [52765]
dewan ['majlis']

401 [35161]
posisi ['kedudukan']

402 [13716]
pungkasan ['pungkasaning']

503 [42825]
warta ['wasta']

721 [46896]
durung ['durunge']

752 [26349]
perang ['peperangan']

799 [28708]
cathetan ['cathatan']

800 [64526]
suku ['sukune']

803 [3791]
sumber ['sumbering']

862 [15547]
kaisar ['emperor']

862 [15547]
kaisar ['emperor']

872 [6808]
panggonan ['panggonane']

872 [6808]
panggonan ['panggonane']

875 [624]
candhi ['candi']

887 [4977]
wakil ['wakile']

888 [2481]
usaha ['upaya']

956 [937]
komunis ['sosialis']

966 [32802]
alesan ['alesanna']

976 [62559]
warga ['warganing']

976 [62559]
warga ['warganing']

976 [62559]
warga ['warganing']

1070 [35790]
saiki ['saikine']

1087 [54949]
istana ['palazzo']

1143 [44238]
ukara ['ukura']

1164 [15403]
hak ['hakikat']

1181 [3958]
tiyang ['tiyangipun']

1192 [71448]
cariyos ['criyos']

1277 [49490]
ide ['ideu']

1277 [49490]
ide ['ideu']

1284 [27826]
padang ['padangpanjang']

1284 [27826]
padang ['padangpanjang']

1304 [38471]
perasaan ['siksaan']

1304 [38471]
perasaan ['siksaan']

1305 [14958]
pribadi ['pribadine']

1305 [14958]
pribadi ['pribadine']

1305 [14958]
pribadi ['pribadine']

1393 [66731]
upah ['opah']

1400 [1960]
karangan ['karangane']

1400 [1960]
karangan ['karangane']

1418 [17701]
sedoyo ['supoyo']

1424 [38831]
mata ['matanya']

1527 [10760]
lemah ['lemahe']

1527 [10760]
lemah ['lemahe']

1538 [5027]
seni ['seniman']

1551 [3894]
karakter ['character']

1554 [40339]
nomer ['nomerna']

1563 [93360]
kopi ['kopine']

1608 [44418]
obah ['obahe']

1641 [11183]
rupa ['rupaning']

1648 [14554]
carita ['cerita']

1713 [34416]
dhusun ['dhistrik']

1723 [50744]
medali ['penghargaan']

1735 [6906]
sapi ['babi']

1876 [3143]
tradisi ['ritual']

1876 [3143]
tradisi ['ritual']

1884 [21480]
kembang ['kembangan']

1884 [21480]
kembang ['kembangan']

1895 [49304]
dhuwit ['dhuwite']

1908 [80454]
lanang ['lanag']

1908 [80454]
lanang ['lanag']

1909 [55290]
wadon ['wadone']

1909 [55290]
wadon ['wadone']

1921 [109237]
bengi ['bengen']

1962 [18343]
pinter ['pintere']

1992 [23251]
tata ['tatacara']

2012 [17086]
mutlak ['muter']

2063 [936]
bagean ['deukeut']

2081 [10382]
omah ['omahe']

2081 [10382]
omah ['omahe']

2108 [6998]
oksigen ['nitrogen']

2150 [3569]
logam ['metals']

2178 [5816]
mlebu ['mlayu']

2204 [19861]
ratu ['ratuning']

2318 [1651]
rama ['ramayana']

