Pair translation for k=1
62 [62]
dina ['dina']

119 [119]
dadi ['dadi']

125 [125]
kanggo ['kanggo']

125 [125]
kanggo ['kanggo']

142 [142]
tembung ['tembung']

210 [210]
dalem ['dalem']

216 [216]
wong ['wong']

216 [216]
wong ['wong']

216 [216]
wong ['wong']

216 [216]
wong ['wong']

244 [244]
aksara ['aksara']

244 [244]
aksara ['aksara']

276 [276]
taun ['taun']

314 [314]
dewan ['dewan']

402 [402]
pungkasan ['pungkasan']

503 [503]
warta ['warta']

721 [721]
durung ['durung']

752 [752]
perang ['perang']

799 [799]
cathetan ['cathetan']

800 [800]
suku ['suku']

803 [803]
sumber ['sumber']

862 [862]
kaisar ['kaisar']

872 [872]
panggonan ['panggonan']

872 [872]
panggonan ['panggonan']

875 [875]
candhi ['candhi']

887 [887]
wakil ['wakil']

888 [888]
usaha ['usaha']

976 [976]
warga ['warga']

976 [976]
warga ['warga']

1070 [1070]
saiki ['saiki']

1087 [1087]
istana ['istana']

1143 [1143]
ukara ['ukara']

1181 [1181]
tiyang ['tiyang']

1192 [1192]
cariyos ['cariyos']

1277 [1277]
ide ['ide']

1284 [1284]
padang ['padang']

1304 [1304]
perasaan ['perasaan']

1304 [1304]
perasaan ['perasaan']

1305 [1305]
pribadi ['pribadi']

1305 [1305]
pribadi ['pribadi']

1309 [1309]
damel ['damel']

1393 [1393]
upah ['upah']

1400 [1400]
karangan ['karangan']

1400 [1400]
karangan ['karangan']

1418 [1418]
sedoyo ['sedoyo']

1424 [1424]
mata ['mata']

1527 [1527]
lemah ['lemah']

1527 [1527]
lemah ['lemah']

1551 [1551]
karakter ['karakter']

1608 [1608]
obah ['obah']

1641 [1641]
rupa ['rupa']

1648 [1648]
carita ['carita']

1713 [1713]
dhusun ['dhusun']

1876 [1876]
tradisi ['tradisi']

1876 [1876]
tradisi ['tradisi']

1884 [1884]
kembang ['kembang']

1884 [1884]
kembang ['kembang']

1895 [1895]
dhuwit ['dhuwit']

1908 [1908]
lanang ['lanang']

1908 [1908]
lanang ['lanang']

1909 [1909]
wadon ['wadon']

1909 [1909]
wadon ['wadon']

1921 [1921]
bengi ['bengi']

1992 [1992]
tata ['tata']

2063 [2063]
bagean ['bagean']

2081 [2081]
omah ['omah']

2081 [2081]
omah ['omah']

2178 [2178]
mlebu ['mlebu']

2318 [2318]
rama ['rama']

2318 [2318]
rama ['rama']

2405 [2405]
gawe ['gawe']

2434 [2434]
pilihan ['pilihan']

2482 [2482]
sandi ['sandi']

2482 [2482]
sandi ['sandi']

2519 [2519]
banyu ['banyu']

2562 [2562]
padu ['padu']

2583 [2583]
tumindak ['tumindak']

2596 [2596]
asih ['asih']

2596 [2596]
asih ['asih']

2666 [2666]
tembok ['tembok']

2706 [2706]
situs ['situs']

2804 [2804]
lare ['lare']

2804 [2804]
lare ['lare']

2851 [2851]
biru ['biru']

2859 [2859]
tambahan ['tambahan']

2977 [2977]
sekolah ['sekolah']

3095 [3095]
nglakoni ['nglakoni']

3180 [3180]
mbengi ['mbengi']

3181 [3181]
lintang ['lintang']

3194 [3194]
joged ['joged']

3360 [3360]
dalu ['dalu']

3720 [3720]
wedhus ['wedhus']

3770 [3770]
hubungan ['hubungan']

3869 [3869]
paguyuban ['paguyuban']

4277 [4277]
jagad ['jagad']

4594 [4594]
emak ['emak']

4594 [4594]
emak ['emak']

4594 [4594]
emak ['emak']

4594 [4594]
emak ['emak']

4595 [4595]
