kategori ['mu', 'swasta', 'bim', 'kepulisian', 'kejaksaan', 'pandheganipun', 'humas', 'kemasarakatan', 'balikpapan', 'kulliyatul']
jeung ['resik', 'disaring', 'diperes', 'dikumbah', 'diombé', 'godhog', 'umub', 'ngumbah', 'raup', 'dientas']
jeung ['resik', 'disaring', 'diperes', 'dikumbah', 'diombé', 'godhog', 'umub', 'ngumbah', 'raup', 'dientas']
jeung ['resik', 'disaring', 'diperes', 'dikumbah', 'diombé', 'godhog', 'umub', 'ngumbah', 'raup', 'dientas']
dina ['sempit', 'obahing', 'fleksibel', 'lengen', 'tentakel', 'sepasang', 'lan', 'amba', 'celah', 'suthang']
dina ['sempit', 'obahing', 'fleksibel', 'lengen', 'tentakel', 'sepasang', 'lan', 'amba', 'celah', 'suthang']
tina ['disaring', 'diperes', 'umub', 'umeb', 'sagelas', 'umup', 'direndhem', 'tambahaké', 'dikum', 'diombé']
apollo ['disaring', 'sagelas', 'umeb', 'dikum', 'diunjuk', 'umub', 'diperes', 'umup', 'direndhem', 'diombe']
kaluar ['mu', 'anri', 'ngemban', 'ghafir', 'allaq', 'min', 'btn', 'pangad', 'muammar', 'malut']
daptar ['mu', 'minin', 'tvone', 'pkt', 'bea', 'galatama', 'berjaringan', 'lsi', 'gtv', 'danamon']
badag ['mu', 'allimin', 'minin', 'allaq', 'munqati', 'kulliyatul', 'kadis', 'ghafir', 'daulah', 'hyang']
badag ['mu', 'allimin', 'minin', 'allaq', 'munqati', 'kulliyatul', 'kadis', 'ghafir', 'daulah', 'hyang']
ngora ['mu', 'allimin', 'allaq', 'munqati', 'kulliyatul', 'minin', 'peparing', 'ghafir', 'malut', 'thabarani']
robah ['mu', 'allaq', 'kulliyatul', 'allimin', 'minin', 'munqati', 'mudallas', 'dimaksud', 'kadis', 'ghafir']
astronomical ['mu', 'allimin', 'minin', 'allaq', 'munqati', 'kulliyatul', 'thabarani', 'mudallas', 'fa', 'qathafi']
ka ['cilik', 'bisa', 'kang', 'luwih', 'utawa', 'raine', 'mung', 'wuluné', 'ketok', 'uga']
ti ['mi', 'luwes', 'keliling', 'mie', 'panggonane', 'obyek', 'karpet', 'kacamata', 'mubeng', 'sempit']
