dina ['sajeroning', 'iki', 'kang', 'kanggo', 'amarga', 'ana', 'saka', 'wis', 'uga', 'lan']
jadi ['dados', 'ingkang', 'punika', 'inggih', 'saking', 'wonten', 'dipunpilih', 'ugi', 'utawi', 'boten']
nyaéta ['inggih', 'ingkang', 'punika', 'saking', 'utawi', 'dados', 'ingih', 'mocapaken', 'urutanipun', 'asmanipun']
pikeun ['kanggé', 'ingkang', 'kedahipun', 'punika', 'wonten', 'saged', 'ugi', 'pangginaan', 'saha', 'boten']
pikeun ['kanggé', 'ingkang', 'kedahipun', 'punika', 'wonten', 'saged', 'ugi', 'pangginaan', 'saha', 'boten']
teu ['boten', 'ingkang', 'langkung', 'dipunmangertos', 'amargi', 'kasunyatanipun', 'saleresipun', 'sajatosipun', 'sakedhik', 'mekaten']
teu ['boten', 'ingkang', 'langkung', 'dipunmangertos', 'amargi', 'kasunyatanipun', 'saleresipun', 'sajatosipun', 'sakedhik', 'mekaten']
téh ['sinaosa', 'ingkang', 'mocapaken', 'dipunpocapaken', 'ḍa', 'kojong', 'kalawau', 'amargi', 'lajêng', 'ḍha']
ti ['saka', 'iki', 'ana', 'kang', 'saiki', 'iku', 'wis', 'tekan', 'ing', 'menyang']
ti ['saka', 'iki', 'ana', 'kang', 'saiki', 'iku', 'wis', 'tekan', 'ing', 'menyang']
sarta ['lan', 'kang', 'amarga', 'kanggo', 'iki', 'saka', 'bisa', 'kasebut', 'utawa', 'uga']
kawas ['kados', 'ingkang', 'utawi', 'inggih', 'punika', 'dipunwaos', 'wonten', 'saking', 'ugi', 'ngginakaken']
ogé ['uga', 'kang', 'iki', 'amarga', 'lan', 'kanggo', 'utawa', 'ora', 'liyané', 'bisa']
aya ['ana', 'iki', 'kalebu', 'kang', 'bisa', 'duwé', 'akèh', 'iku', 'ora', 'mung']
bisa ['bisa', 'ora', 'kudu', 'kanggo', 'kang', 'bakal', 'gampang', 'amarga', 'mau', 'angél']
leuwih ['luwih', 'kurang', 'banget', 'tinimbang', 'amarga', 'ora', 'ketimbang', 'lewih', 'cukup', 'iki']
nepi ['nganti', 'tekan', 'banjur', 'wis', 'lan', 'éwon', 'sawisé', 'nalika', 'wiwit', 'sampé']
nepi ['nganti', 'tekan', 'banjur', 'wis', 'lan', 'éwon', 'sawisé', 'nalika', 'wiwit', 'sampé']
kota ['kutha', 'wewengkon', 'krajan', 'pusat', 'lokasiné', 'krajané', 'ibukota', 'provinsi', 'ndunungi', 'plabuhan']
nagara ['nagara', 'fédherasi', 'negara', 'afrika', 'kadhaulatan', 'éropa', 'grikenlan', 'konfederasi', 'dhémokratis', 'persemakmuran']
ngaran ['jeneng', 'aran', 'dijenengaké', 'dijenengi', 'asliné', 'dasanama', 'jenengé', 'asalé', 'sesebutan', 'étimologi']
sababaraha ['pirang', 'sawatara', 'iki', 'sawetara', 'kang', 'akèh', 'bisa', 'liya', 'lan', 'uga']
disebut ['diarani', 'karan', 'utawa', 'sinebut', 'ingaran', 'dikenal', 'ditegesi', 'kalebu', 'dianggep', 'ana']
loba ['akèh', 'akeh', 'akéh', 'bisa', 'iki', 'amarga', 'kerep', 'wis', 'ana', 'ora']
jawa ['jawa', 'kalimantan', 'indonésia', 'sumatra', 'sundha', 'sumatera', 'madura', 'sulawesi', 'indonesia', 'sukabumi']
yén ['manawa', 'yèn', 'nyatané', 'menawa', 'kepriyé', 'kamungkinan', 'yén', 'prekara', 'kasunyatané', 'kepiyé']
wewengkon ['wewengkon', 'tlatah', 'laladan', 'kutha', 'wétan', 'tlatahé', 'wewengkoné', 'kulon', 'géografis', 'pulo']
