astéroid ['qg', 'qj', 'qn', 'qk', 'qy', 'xq', 'ql', 'xz', 'jx', 'amor']
kategori ['kategori', 'referensi', 'rujukan', 'pranala', 'luar', 'pranla', 'daftar', 'bertopik', 'pautan', 'kelahiran']
jeung ['denga', 'dengan', 'dangan', 'mutlaknya', 'dngan', 'sedangkan', 'yakni', 'dgn', 'yaitu', 'dan']
jadi ['ud', 'ghang', 'anakh', 'rykker', 'trima', 'qj', 'rz', 'zb', 'zh', 'bresciana']
pikeun ['untuk', 'bagi', 'guna', 'agar', 'unutk', 'serta', 'dan', 'keperluan', 'dapat', 'mampu']
pikeun ['untuk', 'bagi', 'guna', 'agar', 'unutk', 'serta', 'dan', 'keperluan', 'dapat', 'mampu']
dina ['dalam', 'dan', 'pada', 'dari', 'tersebut', 'ini', 'dimana', 'yang', 'mana', 'antara']
dina ['dalam', 'dan', 'pada', 'dari', 'tersebut', 'ini', 'dimana', 'yang', 'mana', 'antara']
tina ['mutlaknya', 'cu', 'sio', 'uo', 'tl', 'gha', 'sn', 'qj', 'xn', 'gz']
teu ['tidak', 'belum', 'saja', 'tak', 'tetapi', 'harus', 'tanpa', 'perfilmanjibis', 'perlu', 'jika']
nyaéta ['yakni', 'yaitu', 'ialah', 'sedangkan', 'mutlaknya', 'adalah', 'adapun', 'ti', 'disebab', 'uku']
kaluar ['luar', 'refrensi', 'pranaal', 'referensi', 'rentboy', 'pnri', 'pranla', 'kategori', 'newwavefilm', 'resensi']
ku ['oleh', 'olehnya', 'yang', 'tersebut', 'dan', 'dengan', 'itu', 'sementara', 'ini', 'sebagaimana']
ka ['ke', 'lalu', 'sampai', 'hingga', 'dari', 'di', 'menuju', 'ketika', 'memasuki', 'saat']
mangrupa ['cu', 'tl', 'mutlaknya', 'oe', 'bi', 'fitu', 'uru', 'ib', 'ti', 'taa']
mangrupa ['cu', 'tl', 'mutlaknya', 'oe', 'bi', 'fitu', 'uru', 'ib', 'ti', 'taa']
ti ['dari', 'di', 'ke', 'dan', 'antara', 'ini', 'sementara', 'lalat', 'yakni', 'animalia']
sarta ['dan', 'dengan', 'serta', 'yang', 'sementara', 'untuk', 'sedangkan', 'telah', 'selain', 'sehingga']
taun ['tahun', 'sejak', 'setahun', 'pada', 'dekade', 'pertama', 'dasawarsa', 'baru', 'seabad', 'telah']
deukeut ['yw', 'sz', 'af', 'yn', 'živ', 'rz', 'sy', 'yd', 'lr', 'tê']
ogé ['juga', 'selain', 'yang', 'pula', 'bahkan', 'lainnya', 'walaupun', 'dan', 'lain', 'meskipun']
orbit ['qj', 'wx', 'ql', 'qn', 'qy', 'gj', 'qk', 'gz', 'yq', 'qg']
objék ['af', 'iow', 'ly', 'rch', 'zenfone', 'kadidiatou', 'qcif', 'né', 'hich', 'tafuli']
asteroid ['yw', 'yn', 'vq', 'lr', 'sz', 'qw', 'pf', 'qk', 'fq', 'zt']
référénsina ['gz', 'tq', 'qw', 'qj', 'lr', 'qk', 'sz', 'vg', 'qy', 'fq']
aya ['ada', 'terdapat', 'memiliki', 'berada', 'mempunyai', 'nektar', 'termasuk', 'polen', 'lainnya', 'lain']
bisa ['dapat', 'bisa', 'mampu', 'harus', 'atau', 'ataupun', 'cara', 'akan', 'perlu', 'sulit']
basa ['bahasa', 'bahsa', 'dwibahasa', 'kosakata', 'bahasanya', 'dialek', 'penutur', 'pengucapan', 'terjemahan', 'urdu']
leuwih ['lebih', 'kurang', 'daripada', 'cukup', 'relatif', 'sangat', 'dibandingkan', 'paling', 'cenderung', 'dibanding']
nepi ['hingga', 'sampai', 'sekitar', 'terhitung', 'mulai', 'sementara', 'selama', 'mencapai', 'sepanjang', 'lalu']
keur ['untuk', 'bagi', 'sedang', 'dan', 'suatu', 'misalnya', 'serta', 'dimana', 'atau', 'utuk']
dipaké ['dipakai', 'digunakan', 'dipergunakan', 'menggunakannya', 'gunakan', 'menggunakan', 'dimanfaatkan', 'dijadikan', 'penggunaan', 'pemakaian']
urang ['orang', 'warga', 'pribumi', 'suku', 'sukunya', 'warganya', 'beretnis', 'imigran', 'pengungsi', 'penutur']
urang ['orang', 'warga', 'pribumi', 'suku', 'sukunya', 'warganya', 'beretnis', 'imigran', 'pengungsi', 'penutur']
ngaran ['nama', 'penamaan', 'sebutan', 'penamaannya', 'namanya', 'julukan', 'penyebutan', 'patronimik', 'singkatannya', 'marganya']
dua ['dua', 'tiga', 'empat', 'lima', 'yaitu', 'enam', 'delapan', 'satu', 'tujuh', 'yakni']
tumbu ['pranala', 'referensi', 'kategori', 'rujukan', 'luar', 'situs', 'pranara', 'website', 'homepage', 'profil']
tumbu ['pranala', 'referensi', 'kategori', 'rujukan', 'luar', 'situs', 'pranara', 'website', 'homepage', 'profil']
jawa ['jawa', 'sunda', 'kalimantan', 'bali', 'madura', 'banten', 'indramayu', 'indonesia', 'sumatra', 'maluku']
salah ['salah', 'satunya', 'merupakan', 'satu', 'adalah', 'terpenting', 'paling', 'sekaligus', 'terkemuka', 'dari']
manéhna ['ia', 'dia', 'mereka', 'pernah', 'itu', 'dirinya', 'keinginannya', 'ingin', 'membuatnya', 'kesempatan']
manéhna ['ia', 'dia', 'mereka', 'pernah', 'itu', 'dirinya', 'keinginannya', 'ingin', 'membuatnya', 'kesempatan']
manéhna ['ia', 'dia', 'mereka', 'pernah', 'itu', 'dirinya', 'keinginannya', 'ingin', 'membuatnya', 'kesempatan']
bandung ['bandung', 'cimahi', 'bogor', 'tasikmalaya', 'depok', 'semarang', 'cianjur', 'sukabumi', 'malang', 'purwakarta']
luar ['luar', 'referensi', 'pemko', 'kategori', 'rasmi', 'situs', 'resmi', 'reeferensi', 'rujukan', 'pula']
kidul ['selatan', 'utara', 'barat', 'timur', 'tenggara', 'tengah', 'di', 'pesisir', 'afrika', 'benua']
henteu ['tidak', 'tak', 'tidaklah', 'tanpa', 'memang', 'hanya', 'sudah', 'sehingga', 'bahkan', 'saja']
henteu ['tidak', 'tak', 'tidaklah', 'tanpa', 'memang', 'hanya', 'sudah', 'sehingga', 'bahkan', 'saja']
tempat ['tempat', 'ditempat', 'lokasi', 'disuatu', 'tempatnya', 'peristirahatan', 'sini', 'di', 'tenpat', 'dipinggir']
kalawan ['dengan', 'dan', 'sedangkan', 'yang', 'secara', 'yaitu', 'yakni', 'tanpa', 'adapun', 'sementara']
perang ['perang', 'peperangan', 'pertempuran', 'invasi', 'perangnya', 'berperang', 'pendudukan', 'penyerbuan', 'pemberontakan', 'sekutu']
