astéroid ['qg', 'qj', 'qn', 'qk', 'ql', 'xq', 'jq', 'qy', 'xz', 'yq']
kategori ['kategori', 'referensi', 'pranala', 'rujukan', 'luar', 'kelahiran', 'daftar', 'bertopik', 'bibliografi', 'tokoh']
jeung ['dengan', 'dan', 'sedangkan', 'yakni', 'yaitu', 'denga', 'sementara', 'mutlaknya', 'serta', 'lainnya']
jadi ['ud', 'qj', 'rz', 'ghang', 'qg', 'ql', 'sz', 'xz', 'qn', 'yn']
pikeun ['untuk', 'agar', 'bagi', 'dan', 'dapat', 'harus', 'guna', 'serta', 'mampu', 'supaya']
pikeun ['untuk', 'agar', 'bagi', 'dan', 'dapat', 'harus', 'guna', 'serta', 'mampu', 'supaya']
dina ['dalam', 'dan', 'pada', 'yang', 'tersebut', 'ini', 'dari', 'dimana', 'beberapa', 'itu']
dina ['dalam', 'dan', 'pada', 'yang', 'tersebut', 'ini', 'dari', 'dimana', 'beberapa', 'itu']
tina ['mutlaknya', 'qj', 'xn', 'yw', 'gz', 'sz', 'xq', 'xz', 'uo', 'cu']
teu ['tidak', 'tetapi', 'harus', 'sehingga', 'saja', 'belum', 'namun', 'jika', 'karena', 'bisa']
nyaéta ['yakni', 'yaitu', 'sedangkan', 'adalah', 'adapun', 'merupakan', 'lokatif', 'ialah', 'mutlaknya', 'ti']
kaluar ['luar', 'referensi', 'pranala', 'kategori', 'refrensi', 'resensi', 'pranla', 'pranaal', 'armeniapedia', 'wikidpr']
ku ['oleh', 'yang', 'dan', 'tersebut', 'itu', 'olehnya', 'dengan', 'namun', 'ini', 'sementara']
ka ['ke', 'sampai', 'lalu', 'kemudian', 'sebelum', 'dan', 'ketika', 'saat', 'hingga', 'di']
mangrupa ['cu', 'sz', 'qj', 'xn', 'oe', 'xz', 'merupakan', 'bi', 'yw', 'tl']
mangrupa ['cu', 'sz', 'qj', 'xn', 'oe', 'xz', 'merupakan', 'bi', 'yw', 'tl']
ti ['dari', 'dan', 'di', 'ke', 'ini', 'sementara', 'antara', 'yang', 'itu', 'tersebut']
sarta ['dan', 'dengan', 'yang', 'serta', 'sementara', 'sehingga', 'untuk', 'telah', 'namun', 'tetapi']
taun ['tahun', 'sejak', 'setahun', 'pada', 'pertama', 'telah', 'saat', 'kemudian', 'dekade', 'sebelum']
deukeut ['sz', 'yw', 'yn', 'rz', 'xz', 'tq', 'sy', 'qg', 'af', 'fq']
ogé ['juga', 'yang', 'selain', 'bahkan', 'dan', 'lainnya', 'lain', 'banyak', 'walaupun', 'meskipun']
orbit ['qj', 'qg', 'ql', 'qn', 'sz', 'qk', 'qy', 'yq', 'wx', 'gz']
objék ['af', 'qj', 'ly', 'yh', 'ql', 'sy', 'ow', 'jq', 'fujica', 'sz']
asteroid ['yw', 'sz', 'yn', 'qk', 'yq', 'qg', 'vq', 'fq', 'ql', 'xq']
référénsina ['qj', 'tq', 'sz', 'gz', 'qg', 'qk', 'yq', 'qy', 'fq', 'qw']
aya ['ada', 'terdapat', 'memiliki', 'mempunyai', 'berada', 'termasuk', 'lainnya', 'lain', 'ditemukan', 'ini']
bisa ['dapat', 'bisa', 'harus', 'mampu', 'atau', 'akan', 'sehingga', 'ataupun', 'cara', 'hanya']
basa ['bahasa', 'kosakata', 'kata', 'bahsa', 'penutur', 'dialek', 'pengucapan', 'terjemahan', 'bahasanya', 'dwibahasa']
leuwih ['lebih', 'daripada', 'kurang', 'sangat', 'cukup', 'relatif', 'dibandingkan', 'dibanding', 'cenderung', 'terlalu']
nepi ['hingga', 'sampai', 'sekitar', 'selama', 'mulai', 'dan', 'sebelum', 'sementara', 'masih', 'saat']
keur ['untuk', 'bagi', 'dan', 'atau', 'suatu', 'misalnya', 'yang', 'akan', 'itu', 'serta']
dipaké ['dipakai', 'digunakan', 'dipergunakan', 'menggunakan', 'menggunakannya', 'dimanfaatkan', 'gunakan', 'penggunaan', 'memakai', 'disebut']
urang ['orang', 'warga', 'suku', 'penduduk', 'mereka', 'pribumi', 'penutur', 'etnis', 'itu', 'bangsa']
urang ['orang', 'warga', 'suku', 'penduduk', 'mereka', 'pribumi', 'penutur', 'etnis', 'itu', 'bangsa']
ngaran ['nama', 'sebutan', 'penamaan', 'penamaannya', 'namanya', 'penyebutan', 'julukan', 'patronimik', 'singkatan', 'menamai']
dua ['dua', 'tiga', 'empat', 'lima', 'enam', 'delapan', 'tujuh', 'sepuluh', 'satu', 'yaitu']
