kategori ['kategori', 'artikel', 'mrebawani', 'wiki', 'suku', 'cathetan', 'rujukan', 'daftar', 'kalamangsa', 'dhaptar']
jeung ['lan', 'karo', 'kalawan', 'sarta', 'ambo', 'ngetoke', 'né', 'siki', 'bu', 'upamané']
jeung ['lan', 'karo', 'kalawan', 'sarta', 'ambo', 'ngetoke', 'né', 'siki', 'bu', 'upamané']
jeung ['lan', 'karo', 'kalawan', 'sarta', 'ambo', 'ngetoke', 'né', 'siki', 'bu', 'upamané']
dina ['sajeroning', 'ing', 'lan', 'iki', 'sajroné', 'nalika', 'kanthi', 'kang', 'amarga', 'kanggo']
dina ['sajeroning', 'ing', 'lan', 'iki', 'sajroné', 'nalika', 'kanthi', 'kang', 'amarga', 'kanggo']
tina ['dz', 'bu', 'cu', 'tra', 'sèn', 'kx', 'pelat', 'kadmium', 'bo', 'cepheid']
apollo ['países', 'superficie', 'bs', 'glória', 'antes', 'morir', 'bn', 'luba', 'bh', 'colégio']
kaluar ['rujukan', 'wiki', 'njaba', 'mrebawani', 'kategori', 'cathetan', 'daftar', 'cathétan', 'réferènsi', 'pati']
daptar ['daftar', 'pratélan', 'dhaptar', 'dhaftar', 'comuni', 'pratélaning', 'pirsani', 'disambiguasi', 'deleng', 'upinet']
badag ['waja', 'punsèl', 'tilpun', 'seprené', 'bangkean', 'glondhongan', 'akè', 'nélpon', 'kapara', 'lenggahé']
badag ['waja', 'punsèl', 'tilpun', 'seprené', 'bangkean', 'glondhongan', 'akè', 'nélpon', 'kapara', 'lenggahé']
ngora ['anom', 'enom', 'pengepul', 'bocahe', 'sepréné', 'pangormatan', 'abangan', 'nom', 'sabendinané', 'sejatiné']
robah ['owah', 'arubah', 'kapara', 'karugian', 'pilihan', 'wolak', 'kalamangsa', 'pati', 'tetélan', 'owahan']
astronomical ['ditujukake', 'ulahan', 'jejaringan', 'andelan', 'kebumèn', 'karugian', 'origenes', 'kalamangsa', 'tetélan', 'melekat']
ka ['menyang', 'ing', 'tekan', 'lan', 'nganti', 'banjur', 'pungkasané', 'wiwit', 'nalika', 'mudhun']
ti ['saka', 'ing', 'lan', 'menyang', 'saiki', 'ana', 'dadi', 'tekan', 'iki', 'iku']
minangka ['pr', 'rm', 'ud', 'ge', 'kiong', 'angket', 'delphini', 'lk', 'pardede', 'martino']
kawas ['luba', 'dz', 'rtsg', 'rn', 'tedung', 'sz', 'td', 'ae', 'bi', 'kawacan']
